,Dataset,Encoding,Mask,Avg. MSE,Std. MSE,stride
0,MetroTraffic,STD,C,0.4691117687344721,0.009927025618006458,1
1,MetroTraffic,ORD,C,0.47925376138374814,0.009938864927006203,1
2,MetroTraffic,OHE,C,0.5957926156626518,0.015548262442166167,1
3,MetroTraffic,STD,C,0.5056778923035259,0.009310188440907963,8
4,MetroTraffic,ORD,C,0.5079461334677304,0.014224671815002955,8
5,MetroTraffic,OHE,C,0.709428582424138,0.02047267129417386,8
6,MetroTraffic,STD,C,0.5061746822607336,0.011201265341688495,16
7,MetroTraffic,ORD,C,0.5186745801947058,0.012463045671745412,16
8,MetroTraffic,OHE,C,0.7466425069086167,0.01702277587831534,16
9,MetroTraffic,STD,C,0.5471785945602516,0.01562606109383269,32
10,MetroTraffic,ORD,C,0.5200247207728109,0.016816463310916643,32
11,MetroTraffic,OHE,C,0.7847940662960274,0.01635438014171609,32
12,MetroTraffic,STD,M,0.3583589881424663,0.05844715102304144,1
13,MetroTraffic,ORD,M,0.4356865241887534,0.025459910486852005,1
14,MetroTraffic,OHE,M,0.6020849846914613,0.07079463749172919,1
15,MetroTraffic,STD,M,0.4387360946235189,0.03668620265447179,8
16,MetroTraffic,ORD,M,0.4156736203856511,0.03779956120926114,8
17,MetroTraffic,OHE,M,0.713860796438109,0.062224487775903434,8
18,MetroTraffic,STD,M,0.43074391713564586,0.05427842768159889,16
19,MetroTraffic,ORD,M,0.47809814174488735,0.05933077493804465,16
20,MetroTraffic,OHE,M,0.8743213547994886,0.07009740462469483,16
21,MetroTraffic,STD,M,0.435933380349023,0.03322056800152321,32
22,MetroTraffic,ORD,M,0.4185609671767166,0.0560734942038417,32
23,MetroTraffic,OHE,M,0.8236758756917075,0.07289068792225699,32
24,MetroTraffic,STD,F,0.21395856903175497,0.01828665031294822,1
25,MetroTraffic,ORD,F,0.2518278526520855,0.014520325485260678,1
26,MetroTraffic,OHE,F,0.27600546360777983,0.010790792361244089,1
27,MetroTraffic,STD,F,0.13988256782408398,0.01064251258431047,8
28,MetroTraffic,ORD,F,0.13724127093192057,0.01038161752170684,8
29,MetroTraffic,OHE,F,0.22055013958462238,0.02005825895914944,8
30,MetroTraffic,STD,F,0.13908516571809212,0.0066549260711333815,16
31,MetroTraffic,ORD,F,0.13557341208371934,0.008345854766933081,16
32,MetroTraffic,OHE,F,0.19688193494732747,0.006940576238198009,16
33,MetroTraffic,STD,F,0.13718408444974445,0.01025140954837944,32
34,MetroTraffic,ORD,F,0.12190500790961334,0.011329539153483493,32
35,MetroTraffic,OHE,F,0.18516845262122356,0.006471497507067573,32
36,AustraliaTourism,STD,C,0.17326213753184017,0.006781655183609731,1
37,AustraliaTourism,ORD,C,0.46576549561156694,0.08355855649241901,1
38,AustraliaTourism,OHE,C,0.08791245520766461,0.0006667620474453293,1
39,AustraliaTourism,STD,C,0.16664331922704712,0.011885525356363367,8
40,AustraliaTourism,ORD,C,0.47435557214975166,0.10336263719360464,8
41,AustraliaTourism,OHE,C,0.08443096196320973,0.0007776520354244138,8
42,AustraliaTourism,STD,C,0.1907939808703341,0.015828738183563666,16
43,AustraliaTourism,ORD,C,0.47421361213858226,0.14131115401406555,16
44,AustraliaTourism,OHE,C,0.08248657184561284,0.0005725758629327208,16
45,AustraliaTourism,STD,C,0.3036578434105309,0.062333080999562036,32
46,AustraliaTourism,ORD,C,0.427024151963913,0.128890085459798,32
47,AustraliaTourism,OHE,C,0.08440150673952304,0.0006580869795054329,32
48,AustraliaTourism,STD,M,0.2990259764813876,0.01666303325999366,1
49,AustraliaTourism,ORD,M,0.11657420568630908,0.021893597812716232,1
50,AustraliaTourism,OHE,M,0.08833335872709909,0.0011747849667457302,1
51,AustraliaTourism,STD,M,0.2779839015885989,0.046235186322277355,8
52,AustraliaTourism,ORD,M,0.09173742974505528,0.004251936459132615,8
53,AustraliaTourism,OHE,M,0.09051357437860566,0.0012038463880831127,8
54,AustraliaTourism,STD,M,0.4035373037387947,0.09398390134397339,16
55,AustraliaTourism,ORD,M,0.09307027104878342,0.0035159133446153183,16
56,AustraliaTourism,OHE,M,0.08849083435612887,0.0004680064421188392,16
57,AustraliaTourism,STD,M,0.7168657055682937,0.1469429439112019,32
58,AustraliaTourism,ORD,M,0.08852938569964867,0.0033322109895298,32
59,AustraliaTourism,OHE,M,0.08957866158198366,0.001088158402854742,32
60,AustraliaTourism,STD,F,0.19295622632094198,0.006774889706073787,1
