,Dataset,Parallelism,Level,Queries,Avg. MSE,Std. MSE,Avg. Time,Std. Time
0,AustraliaTourism,AR-8,C,30800,0.20832611195132741,0.0551321509739173,264.7309265669901,1.2275433594295067
1,AustraliaTourism,AR-8,M,5200,0.27305487864716704,0.025437707351286285,44.3570899332175,0.5369317392355761
2,AustraliaTourism,AR-8,F,30800,0.15397112738445135,0.004509953680902865,264.848971235822,1.4217545771352686
3,AustraliaTourism,AR-16,C,15400,0.18844668695443445,0.020011132219513707,131.28162985879462,0.42186301443523183
4,AustraliaTourism,AR-16,M,3000,0.31319349341203007,0.05909809371524169,26.180139889591374,0.473541401743227
5,AustraliaTourism,AR-16,F,15400,0.187819177914663,0.04195125329800664,131.8708528096322,0.7046822409063854
6,AustraliaTourism,AR-32,C,7600,0.2902038591427568,0.041254429029898614,64.26602737458889,0.5335839636891389
7,AustraliaTourism,AR-32,M,1800,0.3530248482158291,0.09437011798235319,15.571609165566041,0.535885870771333
8,AustraliaTourism,AR-32,F,7600,0.14222798400312753,0.0018533109655201189,64.81528278475162,0.5119065463388187
9,AustraliaTourism,DNQ,C,200,0.30556064702017366,0.07040358049764764,1.962981399614364,0.5318106570371716
10,AustraliaTourism,DNQ,M,200,0.6112381453412434,0.227344811826105,1.9706735758343712,0.523466593404682
11,AustraliaTourism,DNQ,F,200,0.203517840612243,0.05689123177075939,1.972889058990404,0.5323636756583361
12,AustraliaTourism,Pipeline,C,400,0.17897169232974877,0.01642879779887453,5.558554537990131,0.5883780649238183
13,AustraliaTourism,Pipeline,M,400,0.29383301931498695,0.01233781690543648,5.381097776815295,0.5284011367344537
14,AustraliaTourism,Pipeline,F,400,0.21127156996091917,0.027153046257950546,5.338249302585609,0.5305708603453847
15,MetroTraffic,AR-8,C,198600,0.4991783293365996,0.010421359545010875,1728.3485508279875,5.815960983571407
16,MetroTraffic,AR-8,M,8400,0.38921193006708316,0.06289085917991273,72.82470788240899,0.6628865988682869
17,MetroTraffic,AR-8,F,56600,0.15074569608222527,0.016135895459378987,492.09057612337637,5.7414496946010205
