,Dataset,Method,Level,Avg. ACD,Std. ACD
0,MetroTraffic,timegan,C,0.46063490739059365,0.004752893582153142
1,MetroTraffic,timegan,M,0.4597610482654835,0.006905458543594675
2,MetroTraffic,timegan,F,0.43428163558865573,0.023192822531494465
3,MetroTraffic,timeweaver,C,0.20511923748085037,0.010064523742183161
4,MetroTraffic,timeweaver,M,0.19542490473115487,0.05395959364804031
5,MetroTraffic,timeweaver,F,0.2632403062571771,0.03716173552762352
6,MetroTraffic,tsdiff-0.0,C,0.34910776538799343,0.003949681808383791
7,MetroTraffic,tsdiff-0.0,M,0.13398710951636916,0.016881003113882697
8,MetroTraffic,tsdiff-0.0,F,0.06122104416346863,0.0008614658956754627
9,MetroTraffic,tsdiff-0.5,C,0.3414731205335367,0.00952117837871344
10,MetroTraffic,tsdiff-0.5,M,0.16131132899282394,0.0061411665920931184
11,MetroTraffic,tsdiff-0.5,F,0.06964599158899148,0.0012780676909007842
12,MetroTraffic,tsdiff-1.0,C,0.3394973040147474,0.007448543992383313
13,MetroTraffic,tsdiff-1.0,M,0.14782988107997763,0.01896722715045477
14,MetroTraffic,tsdiff-1.0,F,0.06467586330029809,0.001444038274881346
15,MetroTraffic,tsdiff-2.0,C,0.38280919368225963,0.004328248805004738
16,MetroTraffic,tsdiff-2.0,M,0.205810423986253,0.023771114240848823
17,MetroTraffic,tsdiff-2.0,F,0.06510660169041202,0.002162799724374842
18,MetroTraffic,hyacinth-1,C,0.14751897579298484,0.005223340231757774
19,MetroTraffic,hyacinth-1,M,0.07625226227376146,0.013546107279218372
20,MetroTraffic,hyacinth-1,F,0.061663834028818275,0.003597550201664322
21,MetroTraffic,hyacinth-8,C,0.14305906392862489,0.007792484945318738
22,MetroTraffic,hyacinth-8,M,0.0984510069659895,0.009162789007074417
23,MetroTraffic,hyacinth-8,F,0.0493956354539166,0.002022341980170337
24,MetroTraffic,hyacinth-16,C,0.15972094265268846,0.010657259322369718
25,MetroTraffic,hyacinth-16,M,0.11943927731771695,0.008465951580385432
26,MetroTraffic,hyacinth-16,F,0.04792334194157748,0.0025468015010445284
27,MetroTraffic,hyacinth-32,C,0.20680418297121572,0.010429377669762015
28,MetroTraffic,hyacinth-32,M,0.0939679834565505,0.018713322718774895
29,MetroTraffic,hyacinth-32,F,0.04884390434338255,0.002473483935343348
30,RossmanSales,timegan,C,0.25977230750608327,0.0024264172089894813
31,RossmanSales,timegan,M,0.26045201198885704,0.0037390984168734352
32,RossmanSales,timegan,F,0.2997632799505955,0.003306442980774771
33,RossmanSales,timeweaver,C,0.1479875391742192,0.0008196089346105191
34,RossmanSales,timeweaver,M,0.17766058753833422,0.004096345089064518
35,RossmanSales,timeweaver,F,0.23207523748582864,0.004423551923601173
36,RossmanSales,tsdiff-0.0,C,0.17468393193705772,0.0012564186912981147
37,RossmanSales,tsdiff-0.0,M,0.15497250602584356,0.002473652663656832
38,RossmanSales,tsdiff-0.0,F,0.0959886843465017,0.003179292120194248
39,RossmanSales,tsdiff-0.5,C,0.12915532736646443,0.0016972685544127135
40,RossmanSales,tsdiff-0.5,M,0.17768188704980753,0.004366898638196262
41,RossmanSales,tsdiff-0.5,F,0.12401199247133114,0.005576991666124456
42,RossmanSales,tsdiff-1.0,C,0.12241470219827448,0.0006419636622724137
43,RossmanSales,tsdiff-1.0,M,0.15095000343465684,0.00394684736145712
44,RossmanSales,tsdiff-1.0,F,0.14116853816207392,0.0035860235097958364
45,RossmanSales,tsdiff-2.0,C,0.14507773431684065,0.0033558389187269195
46,RossmanSales,tsdiff-2.0,M,0.13311656398252733,0.002907679179788582
47,RossmanSales,tsdiff-2.0,F,0.11928491429656943,0.004091972840824974
48,RossmanSales,hyacinth-1,C,0.14160950949104353,0.0025073542837494877
49,RossmanSales,hyacinth-1,M,0.1874009968550282,0.006765489047057001
50,RossmanSales,hyacinth-1,F,0.07445503439931277,0.010496103119376607
51,RossmanSales,hyacinth-8,C,0.1619271003691234,0.002321161516790667
52,RossmanSales,hyacinth-8,M,0.18847136062844425,0.00586693105156412
53,RossmanSales,hyacinth-8,F,0.043968208211872084,0.0020733183058284366
54,RossmanSales,hyacinth-16,C,0.1595727634362571,0.0021561067503252877
55,RossmanSales,hyacinth-16,M,0.18478005442765902,0.004464097353388805
56,RossmanSales,hyacinth-16,F,0.04859448302273848,0.001224920961534476
57,RossmanSales,hyacinth-32,C,0.14953849457382773,0.002131915753493897
58,RossmanSales,hyacinth-32,M,0.16880857858624818,0.005054414465436078
59,RossmanSales,hyacinth-32,F,0.052900519320892105,0.0013336018459057864
60,BeijingAirQuality,timegan,C,0.20654671795689064,0.0011535916927058935
61,BeijingAirQuality,timegan,M,0.24860095522362102,0.004748980466778225
62,BeijingAirQuality,timegan,F,0.26798111388543405,0.009698529651678224
63,BeijingAirQuality,timeweaver,C,0.16164452250591432,0.00540754969207958
64,BeijingAirQuality,timeweaver,M,0.10416836343938377,0.0034902704021373306
65,BeijingAirQuality,timeweaver,F,0.32317231988525263,0.02753196949594551
66,BeijingAirQuality,tsdiff-0.0,C,0.32664490775732763,0.009277107272727039
67,BeijingAirQuality,tsdiff-0.0,M,0.3096739944691775,0.0047565356229563455
68,BeijingAirQuality,tsdiff-0.0,F,0.027374098759151904,0.0022790752738807256
69,BeijingAirQuality,tsdiff-0.5,C,0.3264345574300977,0.002034026729313946
70,BeijingAirQuality,tsdiff-0.5,M,0.20814443614215974,0.00533194204417445
71,BeijingAirQuality,tsdiff-0.5,F,0.02351284947722767,0.0010042263007023168
72,BeijingAirQuality,tsdiff-1.0,C,0.3687087663117749,0.004304508232018765
73,BeijingAirQuality,tsdiff-1.0,M,0.27246114652874,0.003392761553204138
74,BeijingAirQuality,tsdiff-1.0,F,0.02259584843662569,0.0007604518977640905
75,BeijingAirQuality,tsdiff-2.0,C,0.32515823881204414,0.008310437308253465
76,BeijingAirQuality,tsdiff-2.0,M,0.24054029893336537,0.005495200982274841
77,BeijingAirQuality,tsdiff-2.0,F,0.025430304860076247,0.000818784517843454
78,BeijingAirQuality,hyacinth-1,C,0.1852481483408171,0.00955204398483103
79,BeijingAirQuality,hyacinth-1,M,0.18630718183162853,0.01438670439172869
80,BeijingAirQuality,hyacinth-1,F,0.03305537087495719,0.0013365538796457608
81,BeijingAirQuality,hyacinth-8,C,0.13437465159315692,0.0056123165875849295
82,BeijingAirQuality,hyacinth-8,M,0.1381099160022052,0.005876336015628025
83,BeijingAirQuality,hyacinth-8,F,0.018320955964011117,0.00041329882795343773
84,BeijingAirQuality,hyacinth-16,C,0.12490439611058254,0.01021294092089881
85,BeijingAirQuality,hyacinth-16,M,0.13354175004105634,0.009994092264155437
86,BeijingAirQuality,hyacinth-16,F,0.017383917491953282,0.0003055059936702286
87,BeijingAirQuality,hyacinth-32,C,0.1647633907497253,0.00712288793685325
88,BeijingAirQuality,hyacinth-32,M,0.11617352936973327,0.008651600800803178
89,BeijingAirQuality,hyacinth-32,F,0.017806892415800003,0.00046908450819069936
90,AustraliaTourism,timegan,C,0.23755489527889787,0.014413891593129878
91,AustraliaTourism,timegan,M,0.25380374714481907,0.0056736314133366385
92,AustraliaTourism,timegan,F,0.23105274638654194,0.015838253681879945
93,AustraliaTourism,timeweaver,C,0.02533263738751389,0.002762917761978605
94,AustraliaTourism,timeweaver,M,0.08806894424559603,0.01997804816244941
95,AustraliaTourism,timeweaver,F,0.13419381616947007,0.0010263972921302925
96,AustraliaTourism,tsdiff-0.0,C,0.11823866468668945,0.0010310182928587243
97,AustraliaTourism,tsdiff-0.0,M,0.17829269532463904,0.0036463010184845657
98,AustraliaTourism,tsdiff-0.0,F,0.11722083286082421,0.0015818657033182216
99,AustraliaTourism,tsdiff-0.5,C,0.08985306833581679,0.0037044831841242707
100,AustraliaTourism,tsdiff-0.5,M,0.24902768627767272,0.0020791776189431964
101,AustraliaTourism,tsdiff-0.5,F,0.09176654049133597,0.0005983161685981359
102,AustraliaTourism,tsdiff-1.0,C,0.0884478960057847,0.0011918126191695307
