,Dataset,Method,Level,Avg. ACD,Std. ACD
0,MetroTraffic,wavestitch-8,C,0.14239265185898287,0.007297667965101742
1,MetroTraffic,wavestitch-8,M,0.13392249342354456,0.01017272270824141
2,MetroTraffic,wavestitch-8,F,0.04193112947019499,0.0014408998331573374
3,MetroTraffic,timegan,C,0.46683650536562,0.004043683991364713
4,MetroTraffic,timegan,M,0.43705974470421954,0.007595640992063657
5,MetroTraffic,timegan,F,0.4025360153953823,0.02425517745763531
6,MetroTraffic,timeweaver,C,0.19089845536093014,0.005462596792358677
7,MetroTraffic,timeweaver,M,0.20811703167741308,0.025318375285069455
8,MetroTraffic,timeweaver,F,0.2342118772144776,0.03784265711574697
9,MetroTraffic,tsdiff-0.5,C,0.3079054239653859,0.005505398386828715
10,MetroTraffic,tsdiff-0.5,M,0.15929952257456823,0.007775811107775809
11,MetroTraffic,tsdiff-0.5,F,0.05719705707861744,0.001450159131492563
12,RossmanSales,wavestitch-8,C,0.1621450344068629,0.0014683385710454059
13,RossmanSales,wavestitch-8,M,0.1829007632415625,0.007377517942932307
14,RossmanSales,wavestitch-8,F,0.050872385915007326,0.0010958442895069558
15,RossmanSales,timegan,C,0.2885440174476966,0.0022237791577762937
16,RossmanSales,timegan,M,0.28861238306140213,0.00510038290928559
17,RossmanSales,timegan,F,0.310715952098917,0.004479825795936083
18,RossmanSales,timeweaver,C,0.14951299193331463,0.0005868082550599657
19,RossmanSales,timeweaver,M,0.18139010430235084,0.00354672396510583
20,RossmanSales,timeweaver,F,0.24149660521034008,0.004654346506643273
21,RossmanSales,tsdiff-0.5,C,0.13103504837466895,0.001903056024493774
22,RossmanSales,tsdiff-0.5,M,0.17583285603278356,0.005455539353767469
23,RossmanSales,tsdiff-0.5,F,0.12588248126679472,0.005526127461523872
24,BeijingAirQuality,wavestitch-8,C,0.12694931906429313,0.003495695147691544
25,BeijingAirQuality,wavestitch-8,M,0.11567135215778432,0.01000277091549549
26,BeijingAirQuality,wavestitch-8,F,0.02022156026096502,0.0005864168862728309
27,BeijingAirQuality,timegan,C,0.19142241976418178,0.0015277818155615386
28,BeijingAirQuality,timegan,M,0.23085126672493797,0.006144756709923436
29,BeijingAirQuality,timegan,F,0.2228332606535023,0.005186848330415588
30,BeijingAirQuality,timeweaver,C,0.1543785403688876,0.004778361529871564
31,BeijingAirQuality,timeweaver,M,0.10398701856986044,0.0026414817420461556
32,BeijingAirQuality,timeweaver,F,0.26481778907234305,0.020965373255214297
33,BeijingAirQuality,tsdiff-0.5,C,0.2842257021285998,0.0023665755765387994
34,BeijingAirQuality,tsdiff-0.5,M,0.17078344630096984,0.006247618743587136
35,BeijingAirQuality,tsdiff-0.5,F,0.024882894662621127,0.0008432397362364028
36,AustraliaTourism,wavestitch-8,C,0.0184745106216773,0.001591847228288318
37,AustraliaTourism,wavestitch-8,M,0.03847398363093647,0.0009860290416006613
38,AustraliaTourism,wavestitch-8,F,0.021876442132087625,0.0004697921475934148
39,AustraliaTourism,timegan,C,0.25922183703910584,0.0148972057333862
40,AustraliaTourism,timegan,M,0.25343553650684464,0.00632074971060736
41,AustraliaTourism,timegan,F,0.2554893275914442,0.023847743762481808
42,AustraliaTourism,timeweaver,C,0.024296263116468476,0.002943267282065743
43,AustraliaTourism,timeweaver,M,0.09311244551383524,0.02098565887618079
44,AustraliaTourism,timeweaver,F,0.12579625142052808,0.0015174314360183684
45,AustraliaTourism,tsdiff-0.5,C,0.08994109559705862,0.0031822024357058385
46,AustraliaTourism,tsdiff-0.5,M,0.25573410633786886,0.00220369435220164
47,AustraliaTourism,tsdiff-0.5,F,0.09033384462120042,0.0010316695463048915
48,PanamaEnergy,wavestitch-8,C,0.2944424890460546,0.004991878913828786
49,PanamaEnergy,wavestitch-8,M,0.1783182425229215,0.032039658766878976
50,PanamaEnergy,wavestitch-8,F,0.08098759543456102,0.007182496956406608
51,PanamaEnergy,timegan,C,0.4102106363311731,0.00041277257642284093
52,PanamaEnergy,timegan,M,0.3816704798596541,0.0019425904148771876
53,PanamaEnergy,timegan,F,0.4173279152305745,0.0005445012013757022
54,PanamaEnergy,timeweaver,C,0.32135148155494125,0.002625772593418552
55,PanamaEnergy,timeweaver,M,0.25840034177264454,0.020333125474308232
56,PanamaEnergy,timeweaver,F,0.3526243027083725,0.02422579563579502
57,PanamaEnergy,tsdiff-0.5,C,0.38816370225035746,0.001475134357212807
58,PanamaEnergy,tsdiff-0.5,M,0.3090356880711874,0.011073611999778278
59,PanamaEnergy,tsdiff-0.5,F,0.08120329836502957,0.0006007105567027752
