,Dataset,Method,Level,Avg. xcorrD,Std. xcorrD
0,MetroTraffic,timegan,C,0.558180666492003,0.001715348683171856
1,MetroTraffic,timegan,M,0.5872848515507971,0.01669623153408873
2,MetroTraffic,timegan,F,0.5266248398089963,0.014642981643141286
3,MetroTraffic,timeweaver,C,0.1020568701219398,0.006068884384672125
4,MetroTraffic,timeweaver,M,0.20294729874968875,0.02360086525150946
5,MetroTraffic,timeweaver,F,0.10469124407065449,0.01526555844308235
6,MetroTraffic,tsdiff-0.0,C,0.15632416573000857,0.004346444140610421
7,MetroTraffic,tsdiff-0.0,M,0.2234726881663655,0.030137501948928436
8,MetroTraffic,tsdiff-0.0,F,0.08069393150680497,0.0020637925665512626
9,MetroTraffic,tsdiff-0.5,C,0.12041387100194298,0.003081217901421158
10,MetroTraffic,tsdiff-0.5,M,0.18044971872687277,0.013206586890736376
11,MetroTraffic,tsdiff-0.5,F,0.061713410696538254,0.005063358477606253
12,MetroTraffic,tsdiff-1.0,C,0.12506259413377732,0.006803840752512821
13,MetroTraffic,tsdiff-1.0,M,0.19172036934059627,0.015991629662408594
14,MetroTraffic,tsdiff-1.0,F,0.0882291501919493,0.0024807982610216273
15,MetroTraffic,tsdiff-2.0,C,0.11816760526380472,0.0033361220776906416
16,MetroTraffic,tsdiff-2.0,M,0.11758019026732006,0.01653668992631495
17,MetroTraffic,tsdiff-2.0,F,0.06343962017882716,0.0033625488873553354
18,MetroTraffic,hyacinth-1,C,0.04161472187110016,0.010301930744660322
19,MetroTraffic,hyacinth-1,M,0.19698828049887923,0.014895226289177168
20,MetroTraffic,hyacinth-1,F,0.06204528747565015,0.005883702290727429
21,MetroTraffic,hyacinth-8,C,0.09347608984973606,0.003749373001240113
22,MetroTraffic,hyacinth-8,M,0.19716631331771478,0.02156335357043641
23,MetroTraffic,hyacinth-8,F,0.07695749576783446,0.0088373809220062
24,MetroTraffic,hyacinth-16,C,0.10202444694619701,0.0038878487077213517
25,MetroTraffic,hyacinth-16,M,0.20820253919624593,0.015742529540210444
26,MetroTraffic,hyacinth-16,F,0.07095581487089872,0.004441357260303822
27,MetroTraffic,hyacinth-32,C,0.09441458407760085,0.004302932019155002
28,MetroTraffic,hyacinth-32,M,0.22011483804217363,0.031035877401843753
29,MetroTraffic,hyacinth-32,F,0.07695302871926551,0.003472712311313509
30,RossmanSales,timegan,C,0.702877727587798,0.004787419080493295
31,RossmanSales,timegan,M,0.7414177630646136,0.015093984804964076
32,RossmanSales,timegan,F,0.8289712918047168,0.017526222274609895
33,RossmanSales,timeweaver,C,0.03028335853806021,0.0009649550829676816
34,RossmanSales,timeweaver,M,0.006032796556006648,0.001432081539912794
35,RossmanSales,timeweaver,F,0.1267321785116379,0.008497214472418626
36,RossmanSales,tsdiff-0.0,C,0.03587336740897499,0.0005956214451141021
37,RossmanSales,tsdiff-0.0,M,0.019463097708912802,0.0022440685551411827
38,RossmanSales,tsdiff-0.0,F,0.05914908127289399,0.0012515849085866285
39,RossmanSales,tsdiff-0.5,C,0.04585319171909673,0.0006987055554334503
40,RossmanSales,tsdiff-0.5,M,0.0035230042865004307,0.002485073056042832
41,RossmanSales,tsdiff-0.5,F,0.07525537501351799,0.0027345029757729973
42,RossmanSales,tsdiff-1.0,C,0.10182204586585511,0.0008677670883935426
43,RossmanSales,tsdiff-1.0,M,0.05659669399140671,0.004358452136005237
44,RossmanSales,tsdiff-1.0,F,0.0522129998614,0.0021099326265411073
45,RossmanSales,tsdiff-2.0,C,0.044200503500341805,0.0010015327181610663
46,RossmanSales,tsdiff-2.0,M,0.005503422418330251,0.0015220200895469606
47,RossmanSales,tsdiff-2.0,F,0.0386071280353422,0.0014730587133718628
48,RossmanSales,hyacinth-1,C,0.0055905222055971145,0.0006938735507021846
49,RossmanSales,hyacinth-1,M,0.012272055493933709,0.0015134388533335958
50,RossmanSales,hyacinth-1,F,0.01893860278256453,0.0008913995504943052
51,RossmanSales,hyacinth-8,C,0.023240532860158147,0.0005302375590017179
52,RossmanSales,hyacinth-8,M,0.005873429953737286,0.0005479761072249764
53,RossmanSales,hyacinth-8,F,0.01443647075405038,0.0005640965845074633
54,RossmanSales,hyacinth-16,C,0.023117609435776166,0.0009990803646137566
55,RossmanSales,hyacinth-16,M,0.005219236811854477,0.0014905032725569605
56,RossmanSales,hyacinth-16,F,0.01628197567697376,0.0008510834258880503
57,RossmanSales,hyacinth-32,C,0.031065209968553765,0.0014373619255230326
58,RossmanSales,hyacinth-32,M,0.010095717856120257,0.0009285954436212139
59,RossmanSales,hyacinth-32,F,0.02462419024515462,0.0006110574815788029
60,BeijingAirQuality,timegan,C,0.1906057913345367,0.003989535603828047
61,BeijingAirQuality,timegan,M,0.23164084570534,0.006479737118359284
